pathway,ec
ec01100,ec:1.1.1.1
ec01100,ec:1.1.1.10
ec01100,ec:1.1.1.100
ec01100,ec:1.1.1.101
ec01100,ec:1.1.1.102
ec01100,ec:1.1.1.103
ec01100,ec:1.1.1.105
ec01100,ec:1.1.1.11
ec01100,ec:1.1.1.110
ec01100,ec:1.1.1.116
ec01100,ec:1.1.1.117
ec01100,ec:1.1.1.12
ec01100,ec:1.1.1.120
ec01100,ec:1.1.1.122
ec01100,ec:1.1.1.127
ec01100,ec:1.1.1.129
ec01100,ec:1.1.1.13
ec01100,ec:1.1.1.130
ec01100,ec:1.1.1.132
ec01100,ec:1.1.1.133
ec01100,ec:1.1.1.135
ec01100,ec:1.1.1.136
ec01100,ec:1.1.1.137
ec01100,ec:1.1.1.138
ec01100,ec:1.1.1.14
ec01100,ec:1.1.1.140
ec01100,ec:1.1.1.145
ec01100,ec:1.1.1.146
ec01100,ec:1.1.1.149
ec01100,ec:1.1.1.15
ec01100,ec:1.1.1.153
ec01100,ec:1.1.1.154
ec01100,ec:1.1.1.156
ec01100,ec:1.1.1.157
ec01100,ec:1.1.1.16
ec01100,ec:1.1.1.169
ec01100,ec:1.1.1.17
ec01100,ec:1.1.1.170
ec01100,ec:1.1.1.173
ec01100,ec:1.1.1.175
ec01100,ec:1.1.1.178
ec01100,ec:1.1.1.179
ec01100,ec:1.1.1.18
ec01100,ec:1.1.1.181
ec01100,ec:1.1.1.184
ec01100,ec:1.1.1.189
ec01100,ec:1.1.1.19
ec01100,ec:1.1.1.193
ec01100,ec:1.1.1.195
ec01100,ec:1.1.1.2
ec01100,ec:1.1.1.20
ec01100,ec:1.1.1.202
ec01100,ec:1.1.1.203
ec01100,ec:1.1.1.205
ec01100,ec:1.1.1.206
ec01100,ec:1.1.1.21
ec01100,ec:1.1.1.211
ec01100,ec:1.1.1.213
ec01100,ec:1.1.1.215
ec01100,ec:1.1.1.218
ec01100,ec:1.1.1.219
ec01100,ec:1.1.1.22
ec01100,ec:1.1.1.23
ec01100,ec:1.1.1.232
ec01100,ec:1.1.1.237
ec01100,ec:1.1.1.239
ec01100,ec:1.1.1.24
ec01100,ec:1.1.1.244
ec01100,ec:1.1.1.247
ec01100,ec:1.1.1.248
ec01100,ec:1.1.1.25
ec01100,ec:1.1.1.250
ec01100,ec:1.1.1.251
ec01100,ec:1.1.1.256
ec01100,ec:1.1.1.259
ec01100,ec:1.1.1.26
ec01100,ec:1.1.1.262
ec01100,ec:1.1.1.266
ec01100,ec:1.1.1.267
ec01100,ec:1.1.1.27
ec01100,ec:1.1.1.270
ec01100,ec:1.1.1.271
ec01100,ec:1.1.1.28
ec01100,ec:1.1.1.281
ec01100,ec:1.1.1.282
ec01100,ec:1.1.1.283
ec01100,ec:1.1.1.284
ec01100,ec:1.1.1.285
ec01100,ec:1.1.1.286
ec01100,ec:1.1.1.287
ec01100,ec:1.1.1.288
ec01100,ec:1.1.1.289
ec01100,ec:1.1.1.29
ec01100,ec:1.1.1.290
ec01100,ec:1.1.1.294
ec01100,ec:1.1.1.298
ec01100,ec:1.1.1.3
ec01100,ec:1.1.1.30
ec01100,ec:1.1.1.302
ec01100,ec:1.1.1.305
ec01100,ec:1.1.1.307
ec01100,ec:1.1.1.309
ec01100,ec:1.1.1.31
ec01100,ec:1.1.1.310
ec01100,ec:1.1.1.312
ec01100,ec:1.1.1.313
ec01100,ec:1.1.1.316
ec01100,ec:1.1.1.324
ec01100,ec:1.1.1.325
ec01100,ec:1.1.1.330
ec01100,ec:1.1.1.331
ec01100,ec:1.1.1.332
ec01100,ec:1.1.1.335
ec01100,ec:1.1.1.336
ec01100,ec:1.1.1.337
ec01100,ec:1.1.1.338
ec01100,ec:1.1.1.339
ec01100,ec:1.1.1.34
ec01100,ec:1.1.1.340
ec01100,ec:1.1.1.341
ec01100,ec:1.1.1.342
ec01100,ec:1.1.1.343
ec01100,ec:1.1.1.344
ec01100,ec:1.1.1.348
ec01100,ec:1.1.1.349
ec01100,ec:1.1.1.35
ec01100,ec:1.1.1.350
ec01100,ec:1.1.1.352
ec01100,ec:1.1.1.356
ec01100,ec:1.1.1.357
ec01100,ec:1.1.1.359
ec01100,ec:1.1.1.36
ec01100,ec:1.1.1.360
ec01100,ec:1.1.1.361
ec01100,ec:1.1.1.362
ec01100,ec:1.1.1.363
ec01100,ec:1.1.1.364
ec01100,ec:1.1.1.365
ec01100,ec:1.1.1.367
ec01100,ec:1.1.1.368
ec01100,ec:1.1.1.369
ec01100,ec:1.1.1.37
ec01100,ec:1.1.1.370
ec01100,ec:1.1.1.371
ec01100,ec:1.1.1.372
ec01100,ec:1.1.1.377
ec01100,ec:1.1.1.378
ec01100,ec:1.1.1.380
ec01100,ec:1.1.1.381
ec01100,ec:1.1.1.384
ec01100,ec:1.1.1.385
ec01100,ec:1.1.1.39
ec01100,ec:1.1.1.394
ec01100,ec:1.1.1.40
ec01100,ec:1.1.1.401
ec01100,ec:1.1.1.404
ec01100,ec:1.1.1.405
ec01100,ec:1.1.1.41
ec01100,ec:1.1.1.414
ec01100,ec:1.1.1.415
ec01100,ec:1.1.1.418
ec01100,ec:1.1.1.42
ec01100,ec:1.1.1.424
ec01100,ec:1.1.1.426
ec01100,ec:1.1.1.427
ec01100,ec:1.1.1.429
ec01100,ec:1.1.1.43
ec01100,ec:1.1.1.433
ec01100,ec:1.1.1.434
ec01100,ec:1.1.1.435
ec01100,ec:1.1.1.436
ec01100,ec:1.1.1.437
ec01100,ec:1.1.1.44
ec01100,ec:1.1.1.45
ec01100,ec:1.1.1.46
ec01100,ec:1.1.1.47
ec01100,ec:1.1.1.48
ec01100,ec:1.1.1.49
ec01100,ec:1.1.1.50
ec01100,ec:1.1.1.51
ec01100,ec:1.1.1.53
ec01100,ec:1.1.1.56
ec01100,ec:1.1.1.57
ec01100,ec:1.1.1.58
ec01100,ec:1.1.1.59
ec01100,ec:1.1.1.6
